2D,3D,4D,answer,type
-,"Line AB is perpendicular to plane DEF. What is the relationship between line AB and plane DEF?","In a 4-dimensional space, Line AB is perpendicular to 3D hyperplane CDEF. What is the relationship between line AB and 3D hyperplane CDEF?",A,2
"In a plane, lines AB and CD are both perpendicular to line EF. What is the relationship between line AB and line CD?","In a 3-dimensional space, plane ABG and CDH are both perpendicular to line EF. What is the relationship between plane ABG and plane CDH?","In a 4-dimensional space, 3D hyperplane ABGH and CDJK are both perpendicular to line EF. What is the relationship between 3D hyperplane ABGH and 3D hyperplane CDJK?",B,2
"Line AB is tangent to circle O at point C. What is the relationship between line AB and line OC?","Plane ABD is tangent to sphere O at point C. What is the relationship between plane ABD and line OC?","3D hyperplane ABDE is tangent to 3-sphere O at point C. What is the relationship between 3D hyperplane ABDE and line OC?",A,2
"Line segment BC is the diameter of circle O, and A is a point on circle O. What is the relationship between line AB and line BC?","Line segment BC is the diameter of sphere O, and A is a point on sphere O. What is the relationship between line AB and line BC?","Line segment BC is the diameter of 3-sphere O, and A is a point on 3-sphere O. What is the relationship between line AB and line BC?",A,2
"In triangle ABC, CD is the altitude from vertex C to the base AB. What is the relationship between line AB and line CD?","In triangular pyramid ABCD, DE is the altitude from vertex D to the base ABC. What is the relationship between plane ABC and line DE?","In 5-cell ABCDE, EF is the altitude from vertex E to the base ABCD. What is the relationship between 3D hyperplane ABCD and line EF?",A,2
"In triangle ABC, let CD be the perpendicular drawn from vertex C to the base AB. What is the relationship between line AB and line CD?","In triangular pyramid ABCD, let DE be the perpendicular drawn from vertex D to the base ABC. What is the relationship between plane ABC and line DE?","In 5-cell ABCDE, let EF be the perpendicular drawn from vertex E to the base ABCD. What is the relationship between 3D-hyperplane ABCD and line EF?",A,2
"Line EF is the altitude on side AB of triangle ABC. What is the relationship between line AB and line EF?","Line EF is the altitude on side ABC of triangular pyramid ABCD. What is the relationship between plane ABC and line EF?","Line FG is the altitude on side ABCD of 5-cell ABCDE. What is the relationship between 3D hyperplane ABCD and line FG?",A,2
"Line AB is perpendicular to BC. What is the relationship between line AB and line BC?","Line AB is perpendicular to plane BCD. What is the relationship between line AB and plane BCD?","Line AB is perpendicular to 3D hyperplane BCDE. What is the relationship between line AB and 3D hyperplane BCDE?",A,2
"In equilateral triangle ABC, what is the relationship between line AB and line BC?","In regular tetrahedron ABCD, what is the relationship between line AB and line BC?","In 5-cell ABCDE, what is the relationship between line AB and line BC?",A,2
"In equilateral triangle ABC, what is the relationship between line AB and line AC?","In regular tetrahedron ABCD, what is the relationship between line AB and line AC?","In 5-cell ABCDE, what is the relationship between line AB and line AC?",A,2
-,"In regular tetrahedron ABCD, what is the relationship between line AB and plane BCD?","In 5-cell ABCDE, what is the relationship between line AB and 3D hyperplane BCDE?",A,2
"Line AB intersects circle O at two points, point C and point D, and point O is not on line AB. What is the relationship between line AB and line OC?","Plane ABC intersects sphere O at circle P, and D is a point on circle P, and point O is not on plane ABC. What is the relationship between plane ABC and line OD?","In 4-dimensional space, 3D hyperplane ABCD intersects 3-sphere O at sphere P, and E is a point on sphere P, and point O is not on 3D hyperplane ABCD. What is the relationship between 3D hyperplane ABCD and line OE?",A,2
"In triangle ABC, AB = AC. What is the relationship between line AB and line BC?","In tetrahedron ABCD, AB = AC = AD. What is the relationship between line AB and plane BCD?","In 5-cell ABCDE, AB = AC = AD = AE. What is the relationship between line AB and 3D hyperplane BCDE?",A,2
-,"In tetrahedron ABCD, AB = AC = AD. What is the relationship between line AB and line BC?","In 5-cell ABCDE, AB = AC = AD = AE. What is the relationship between line AB and line BC?",A,2
"In triangle ABC, AB = AC. What is the relationship between line AB and line AC?","In tetrahedron ABCD, AB = AC = AD. What is the relationship between line AB and plane ACD?","In 5-cell ABCDE, AB = AC = AD = AE. What is the relationship between line AB and 3D hyperplane ACDE?",A,2
-,"In tetrahedron ABCD, AB = AC = AD. What is the relationship between line AB and line AC?","In 5-cell ABCDE, AB = AC = AD = AE. What is the relationship between line AB and line AC?",A,2
"Line segment AB is a chord of circle O, C is on segment AB but not the midpoint of AB. What is the relationship between line AB and line OC?","Plane ABC intersects sphere O at circle P, and D is a point in circle P but not the center of circle P. What is the relationship between plane ABC and line OD?","3D hyperplane ABCD intersects 3-sphere O at sphere P, and E is a point in sphere P but not the center of sphere P. What is the relationship between 3D hyperplane ABCD and line OE?",A,2
"Lines AB and CD both intersect with line EF. What is the relationship between line AB and line CD?","Planes ABC and DEF both intersect with line GH. What is the relationship between plane ABC and plane DEF?","3D hyperplanes ABCD and EFGH both intersect with line IJ. What is the relationship between 3D hyperplane ABCD and 3D hyperplane EFGH?",C,2
-,"Lines AB and CD both intersect with plane EFG. What is the relationship between line AB and line CD?","Lines AB and CD both intersect with 3D hyperplane EFGH. What is the relationship between line AB and line CD?",C,2
"Line AB and line EF lie in the same plane. What is the relationship between line AB and line EF?","Plane ABC and plane DEF lie in the same 3 dimensional space. What is the relationship between plane ABC and plane DEF?","3D hyperplane ABCD and 3D hyperplane EFGH lie in the same 4 dimensional space. What is the relationship between hyperplane ABCD and hyperplane EFGH?",C,2
-,"Line AB and plane DEF lie in the same 3 dimensional space. What is the relationship between line AB and plane DEF?","Line AB and 3D hyperplane EFGH lie in the same 4 dimensional space. What is the relationship between line AB and hyperplane EFGH?",C,2
-,"Line AB and line CD lie in the same 3 dimensional space. What is the relationship between line AB and line CD?","Line AB and line CD lie in the same 4 dimensional space. What is the relationship between line AB and line CD?",C,2
"Triangle ABC, E is the midpoint of AC, F is a point on side BC. What is the relationship between line AB and line EF?","Triangular pyramid ABCD, E is the midpoint of AD, F is the midpoint of BD, G is a point on CD. What is the relationship between plane ABC and plane EFG?","5-cell ABCDE, F is the midpoint of AE, G is the midpoint of BE, H is the midpoint of CE, I is a point on DE. What is the relationship between 3D hyperplane ABCD and 3D hyperplane FGHI?",C,2
"In rectangular ABCD, E and F are points on edges BC and AD respectively. What is the relationship between line AB and line EF?","In rectangular solid ABCD-EFGH, I, J, K are points on edges AE,BF and CG respectively. What is the relationship between plane ABC and plane DEF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), Q, R, S and T are points on edges AI, BJ, GO and HP respectively. What is the relationship between 3D hyperplane ABCE and 3D hyperplane QRST?",C,2
"In triangle ABC, AC=5. What is the relationship between line AB and line BC?","In triangular pyramid ABCD, AC=5. What is the relationship between line AB and line BC?","In irregular 4-simplex ABCDE, AC=5. What is the relationship between line AB and line BC?",A,2
-,"In triangular pyramid ABCD, AC=5. What is the relationship between line AB and plane BCD?","In irregular 4-simplex ABCDE, AC=5. What is the relationship between line AB and 3D hyperplane BCDE?",A,2
"Line AB is tangent to circle O at point C, D is a point on circle O. What is the relationship between line AB and line OD?","Plane ABC is tangent to sphere O at point D, E is a point on sphere O. What is the relationship between plane ABC and line OE?","3D hyperplane ABCD is tangent to 3-sphere O at point E, F is a point on 3-sphere O. What is the relationship between 3D hyperplane ABCD and line OF?",C,2
"In triangle ABC, D is the midpoint of AB. What is the relationship between line AB and line CD?","In triangular pyramid ABCD, E is the midpoint of AB. What is the relationship between line AB and plane CDE?","In irregular 4-simplex ABCDE, F is the midpoint of AB. What is the relationship between line AB and 3D hyperplane CDEF?",A,2
-,"In triangular pyramid ABCD, E is the centroid of ABD. What is the relationship between plane ABD and line CE?","In irregular 4-simplex ABCDE, F is the centroid of ABDE. What is the relationship between 3D hyperplane ABDE and line CF?",A,2
"In triangle ABC, BC = AC. D is a point on AB, connect CD. What is the relationship between line AB and line CD?","In triangular pyramid ABCD, AD=BD=CD. E is a point on ABC, connect DE. What is the relationship between plane ABC and line DE?","In irregular 4-simplex ABCDE, AE = BE = CE = DE. F is a point on ABCD, connect EF. What is the relationship between 3D hyperplane ABCD and line EF?",A,2
"Line segment AB is a chord of circle O, C is a point on AB, joining OC. What is the relationship between line AB and line OC?","Plane ABC intersects sphere O at circle P, and D is a point in circle P. What is the relationship between plane ABC and line OD?","3D hyperplane ABCD intersects 3-sphere O at sphere P, and E is a point in sphere P. What is the relationship between 3D hyperplane ABCD and line OE?",A,2
"In rectangular ABCD, consider AC and BD. What is the relationship between line AC and line BD?","In rectangular solid ABCD-EFGH, consider ABGH and CDEF. What is the relationship between plane ABGH and plane CDGH?","In orthotope (ABCD-EFGH)-(IJKL-MNOP),comsider ABCM and EFGI. What is the relationship between 3D hyperplane ABCM and 3D hyperplane EFGI?",A,2
"Line AB intersects line CD at point E, and D is not equal to E. Are points A, B, and D collinear?","Plane ABC intersects plane DEF at line GH, and D is not on line GH. Are points A, B, C, and D coplanar?","In 4-dimensional space, 3D hyperplane ABCD intersects 3D hyperplane EFGH at plane IJK, and E is not on plane IJK. Are points A, B, C, D, and E cohyperplanar?",B,3
"In rectangular ABCD, line AC and line BD intersect at point E. Are points A, B, and C collinear?","In rectangular solid ABCD-EFGH, plane ABGH and plane CDEF intersect at line IJ. Are points A, B, C and G coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), 3D hyperplane ABCDMNOP and 3D hyperplane EFGHIJKL intersect at plane QRST. Are points A, B, C, E and M cohyperplanar?",B,3
"Points A, B, and C form a triangle. Are points A, B, and C collinear?","Points A, B, C, and D form a triangular pyramid . Are points A, B, C, and D coplanar?","Points A, B, C, D, and E form a 4-simplex. Are points A, B, C, D, and E cohyperplanar?",B,3
"Line AB is the perpendicular bisector of segment CD. Are points A, B, and D collinear?","Plane ABC is the perpendicular bisector plane of segment DE. Are points A, B, C, and D coplanar?","3D hyperplane ABCD is the perpendicular bisector of segment EF. Are points A, B, C ,D, and E cohyperplanar?",B,3
"Triangle ABC is inscribed in circle O. Are points A, B, and C collinear?","Triangular pyramid ABCD is inscribed in sphere O. Are points A, B, C, and D coplanar?","4-simplex ABCDE is inscribed in 3-sphere O. Are points A, B, C, D, and E cohyperplanar?",B,3
"In rectangle ABCD, are points A, B, and D collinear?","In rectangular solid ABCD-EFGH, are points A, B, C and E coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, C, E and I cohyperplanar?",B,3
"Line AB is the altitude of triangle ACD. Are points A, B, and C collinear?","Line AB is the altitude of triangular pyramid ACDE. Are points A, B, C, and D coplanar?","Line AB is the altitude of irregular 5-cell ACDEF. Are points A, B, C, D, and E coplanar?",C,3
"Points A, B, and C are coplanar but not collinear. Are points A, B, and C collinear?","Points A, B, C, and D are cohyperplanar but not coplanar. Are points A, B, C and D coplanar?","Points A, B, C, D, and E are co-4D-hyperplanar but not co-4D-hyperplanar. Are points A, B, C, D, and E co-3D-hyperplanar?",B,3
"Points A, B, and C form an equiangular triangle. Are points A, B, and C collinear?","Points A, B, C, and D form a regular tetrahedron. Are points A, B, C, and D coplanar?","Points A, B, C, D, and E form a 5-cell. Are points A, B, C, D, and E cohyperplanar?",B,3
"Triangle ABC with circumcenter at point O. Are points A, B, and C collinear?","Triangular pyramid ABCD with circumcenter at point O. Are points A, B, C, and D collinear?","4-simplex ABCDE with circumcenter at point O. Are points A, B, C, and D collinear?",B,3
"Line AB is tangent to circle O at point D. Are points A, B, and D collinear?","Plane ABC is tangent to circle O at point D. Are points A, B, C and D coplanar?","3D hyperplane ABCD is tangent to circle O at point E. Are points A, B, C, D, and E cohyperplanar?",A,3
"Triangle ABC with centroid at point G. Are points A, B, and G collinear?","Triangular pyramid ABCD with centroid at point G. Are points A, B, C and G coplanar?","4-simplex ABCDE with centroid at point G. Are points A, B, C, D and G cohyperplanar?",B,3
"We have line segment AC = 5, and point E is a point in the plane. Are points A, C, and E collinear?","We have square ABCD, and point E is a point in the same space. Are points A, B, C, and E coplanar?","We have cube ABCD-EFGH, and point I is a point in the same 4D space. Are points A, B, C, E and I cohyperplanar?",C,3
"Finding three points in the plane: point A, point C, and point E. Are points A, C, and E collinear?","Finding four points in the space: point A, point B, point C, and point E. Are points A, B, C, and E coplanar?","Finding five points in the 4-dimensional space: point A, point B, point C, point D, and point E. Are points A, B, C, D, and E cohyperplanar?",C,3
"Triangle ABC, BE is the altitude from vertex B to side AC, with E as the foot of the perpendicular. Are points A, C, and E collinear?","Triangular pyramid ABCD, BE is the altitude from vertex B to side ACD, with E as the foot of the perpendicular. Are points A, C, D, and E coplanar?","4-simplex ABCDE, BF is the altitude from vertex B to side ACDE, with F as the foot of the perpendicular. Are points A, C, D, E, and F coplanar?",A,3
"Quadrilateral AGCH, point E is the intersection of AC and HG. Are points A, C, and E collinear?","Rectangular solid ABCD-EFGH, line segment IJ is the intersection of ABGH and EFCD. Are points A, B, G, and I coplanar?","Tesseract (ABCD-EFGH)-(IJKL-MNOP), 3D hyperplane ABCDMNOP and 3D hyperplane EFGHIJKL intersect at plane QRST. Are points A, B, C, M and Q cohyperplanar?",A,3
"A circle with center A intersects AC at points E and F. Are points A, C, and E collinear?","A sphere with center A intersects plane ACD at circle O, which has point E on it.. Are points A, C, D, and E coplanar?","A 3-sphere with center A intersects hyperplane ABCD at sphere O, which has point E on it.. Are points A, B, C, D, and E cohyperplanar?",A,3
"In triangle ABC, point E is the midpoint of AC. Are points A, C, and E collinear?","In triangular pyramid ABCD, point E is the innercenter of ACD. Are points A, C, D and E coplanar?","In 4-simplex ABCDE, point F is the innercenter of ACDE. Are points A, C, D ,E and F cohyperplanar?",A,3
"Triangle ABC, with BE as the altitude from vertex B to side AC. Are points A, C, and E collinear?","Triangular pyramid ABCD, with BE as the altitude from vertex B to side ACD. Are points A, C, D, and E coplanar?","4-simplex ABCDE, with BF as the altitude from vertex B to side ACDE. Are points A, C, D, E, and F cohyperplanar?",A,3
"Triangle ABC is isosceles with AB = AC, and point E lies on AC such that AE = EC. Are points A, C, and E collinear?","Triangular pyramid ABCD is isosceles with AB = AC = AD, and point E lies on ACD such that AE = CE = DE. Are points A, C, D, and E coplanar?","Irregular 4-simplex ABCDE is isosceles with AB = AC = AD = AE, and point F lies on ACDE such that AF = CF = DF = EF. Are points A, C, D, E, and F cohyperplanar?",A,3
"Point E is the midpoint of side AC in parallelogram ABCD. Are points A, C, and E collinear?","Point E is the centroid of side ABCD in rectangular solid ABCD-FGHI . Are points A, B, C, and E coplanar?","Point E is the centroid of side ABCD-FGHI in tesseract (ABCD-FGHI)-(JKLM-NOPQ) . Are points A, B, C, F, and E cohyperplanar?",A,3
"In circle O, point E is a point on the circle where AC is a tangent, and E is the point of tangency. Are points A, C, and E collinear?","In sphere O, point E is a point on the circle where plane ACD is a tangent, and E is the point of tangency. Are points A, C, D, and E coplanar?","In 3-sphere O, point E is a point on the circle where 3D hyperplane ABCD is a tangent, and E is the point of tangency. Are points A, B, C, D, and E cohyperplanar?",A,3
"Line AC is tangent to circle O at point E. Are points A, C, and E collinear?","Plane ACD is tangent to sphere O at point E. Are points A, C, D, and E coplanar?","3D hyperplane ABCD is tangent to 3-sphere O at point E. Are points A, B, C, D, and E cohyperplanar?",A,3
